CBSAFP ID,Name,Name Alt,Has Alt Name,2023 Population Estimate,2020 Population Census,Latitude (Centroid),Longitude (Centroid),Land Area (sq Meters),Water Area (sq Meters),Total Area (sq Meters),Land Area (sq Km),Water Area (sq Km),Total Area (sq Km),Land Area (sq Mi),Water Area (sq Mi),Total Area (sq Mi)
12420,"Austin-Round Rock-Georgetown, TX","Austin–Round Rock–San Marcos, TX",YES,2473275,2283371,30.2395128,-97.6912697,10935038512,150326847,11085365359,10935.03851,150.326847,11085.36536,4222.041973,58.04152011,4280.083493
38300,"Pittsburgh, PA","Pittsburgh, PA",,2422725,2457000,40.4395249,-79.8360972,13682806053,156642546,13839448599,13682.80605,156.642546,13839.4486,5282.960952,60.48002513,5343.440977
40900,"Sacramento-Roseville-Folsom, CA","Sacramento–Roseville–Folsom, CA",,2420608,2397382,38.7896779,-121.0057504,13195734333,548112798,13743847131,13195.73433,548.112798,13743.84713,5094.90151,211.6275344,5306.529044
29820,"Las Vegas-Henderson-Paradise, NV","Las Vegas–Henderson–North Las Vegas, NV",YES,2336573,2265461,36.2142575,-115.013812,20439276974,438416032,20877693006,20439.27697,438.416032,20877.69301,7891.648959,169.2733763,8060.922335
17140,"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",,2271479,2249797,39.0998213,-84.4804072,11774658041,219181675,11993839716,11774.65804,219.181675,11993.83972,4546.220886,84.62651783,4630.847404
28140,"Kansas City, MO-KS","Kansas City, MO-KS",,2221343,2192035,38.9318494,-94.4438241,18794229140,301341091,19095570231,18794.22914,301.341091,19095.57023,7256.492439,116.3484457,7372.840885
18140,"Columbus, OH","Columbus, OH",,2180271,2138926,39.9685617,-82.8359105,12423081966,138975190,12562057156,12423.08197,138.97519,12562.05716,4796.578763,53.65862084,4850.237384
17460,"Cleveland-Elyria, OH","Cleveland, OH",YES,2158932,2185825,41.7603919,-81.7242168,5178438794,5128507540,10306946334,5178.438794,5128.50754,10306.94633,1999.406396,1980.127831,3979.534228
26900,"Indianapolis-Carmel-Anderson, IN","Indianapolis–Carmel–Greenwood, IN",YES,2138468,2089653,39.74867,-86.2123823,11153902628,88473175,11242375803,11153.90263,88.473175,11242.3758,4306.545881,34.15968384,4340.705565
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson–Murfreesboro–Franklin, TN",,2102573,2014444,36.1181822,-86.6441196,14735541373,197139533,14932680906,14735.54137,197.139533,14932.68091,5689.424331,76.11599923,5765.540331
41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose–Sunnyvale–Santa Clara, CA",,1945767,2000468,36.9084718,-121.3713721,6940482016,38314684,6978796700,6940.482016,38.314684,6978.7967,2679.735088,14.7933822,2694.52847
47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach–Chesapeake–Norfolk, VA-NC",YES,1787169,1780059,36.8044077,-76.4495261,9143783109,3427599741,12571382850,9143.783109,3427.599741,12571.38285,3530.434396,1323.403659,4853.838054
27260,"Jacksonville, FL","Jacksonville, FL",,1713240,1605848,30.2365943,-81.7544462,8292416990,1286478563,9578895553,8292.41699,1286.478563,9578.895553,3201.720099,496.7121501,3698.432249
39300,"Providence-Warwick, RI-MA","Providence–Warwick, RI-MA",,1677803,1676579,41.7068313,-71.2866369,4110331756,1681129044,5791460800,4110.331756,1681.129044,5791.4608,1587.007963,649.0875527,2236.095516
33340,"Milwaukee-Waukesha, WI","Milwaukee–Waukesha, WI",,1560424,1574731,43.0176601,-87.4815541,3768082371,4835620470,8603702841,3768.082371,4835.62047,8603.702841,1454.864737,1867.043501,3321.908238
39580,"Raleigh-Cary, NC","Raleigh–Cary, NC",,1509231,1413982,35.7567464,-78.4604412,5485205355,76826615,5562031970,5485.205355,76.826615,5562.03197,2117.849628,29.66292189,2147.512549
36420,"Oklahoma City, OK","Oklahoma City, OK",,1477926,1425695,35.4309676,-97.5069659,14275227077,181217176,14456444253,14275.22708,181.217176,14456.44425,5511.695988,69.96834282,5581.664331
31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",,1365557,1362180,38.3058381,-85.6816455,8383232249,141343884,8524576133,8383.232249,141.343884,8524.576133,3236.784067,54.57317871,3291.357246
40060,"Richmond, VA","Richmond, VA",,1349732,1314434,37.4113241,-77.4418164,11300921951,330735784,11631657735,11300.92195,330.735784,11631.65774,4363.310359,127.6978001,4491.008159
32820,"Memphis, TN-MS-AR","Memphis, TN-MS-AR",,1335674,1345425,35.0244194,-89.8719712,11859725547,311754022,12171479569,11859.72555,311.754022,12171.47957,4579.065633,120.3689008,4699.434534
