State Abrv,State,Land Area (Sq Mi),Land Area (Sq Km),Water Area (Sq Mi),Water Area (Sq Km),Total Area (Sq Mi),Total Area (Sq Km),Latitude (Centroid),Longitude (Centroid),Alt Latitude (Centroid),Alt Longitude (Centroid),Boundary P1 Long,Boundary P1 Lat,Boundary P2 Long,Boundary P2 Lat,Region,Division,Population (2020 Census),Population (2023 Estimate)
OH,Ohio,"40,861","105,829","3,965","10,269","44,826","116,098",40.4149297,-82.7119975,40.2862,-82.7937,-84.82069387,38.40504469,-80.52071966,41.97787394,Midwest,East North Central,11799448,11785935
OK,Oklahoma,"68,595","177,660","1,304","3,377","69,899","181,037",35.5894185,-97.4868683,35.5889,-97.4943,-103.0040572,33.61664597,-94.43282318,37.00220021,South,West South Central,3959353,4053824
OR,Oregon,"95,988","248,608","2,391","6,191","98,379","254,799",43.9715225,-120.6226269,43.9336,-120.5583,-124.5541784,41.99161889,-116.4639097,46.26801803,West,Pacific,4237256,4233358
PA,Pennsylvania,"44,743","115,883","1,312","3,397","46,054","119,280",40.9042486,-77.8280624,40.8781,-77.7996,-80.52071966,39.72026507,-74.69529551,42.26995423,Northeast,Middle Atlantic,13002700,12961683
RI,Rhode Island,"1,034","2,678",511,"1,324","1,545","4,001",41.5978358,-71.5252895,41.6762,-71.5562,-71.85975326,41.15145852,-71.12035869,42.0191088,Northeast,New England,1097379,1095962
SC,South Carolina,"30,061","77,857","1,960","5,076","32,020","82,933",33.8741769,-80.8542699,33.9169,-80.8964,-83.34908333,32.03425802,-78.53942938,35.21535606,South,South Atlantic,5118425,5373555
SD,South Dakota,"75,811","196,350","1,305","3,379","77,116","199,729",44.4467957,-100.2381762,44.4443,-100.2263,-104.0593097,42.48471916,-96.43564923,45.94501159,Midwest,West North Central,886667,919318
TN,Tennessee,"41,235","106,798",909,"2,355","42,144","109,153",35.8585639,-86.3493573,35.858,-86.3505,-90.30872438,34.98255088,-81.64775798,36.67833471,South,East South Central,6910840,7126489
TX,Texas,"261,232","676,587","7,365","19,075","268,596","695,662",31.4347032,-99.2818238,31.4757,-99.3312,-106.6471906,25.84043765,-93.51755321,36.50050935,South,West South Central,29145505,30503301
UT,Utah,"82,170","212,818","2,727","7,064","84,897","219,882",39.3349735,-111.6563633,39.3055,-111.6703,-114.0519041,36.99790491,-109.0412497,42.00192761,West,Mountain,3271616,3417734
VT,Vermont,"9,217","23,871",400,"1,035","9,616","24,906",44.0605475,-72.673354,44.0687,-72.6658,-73.43904261,42.72697399,-71.49364527,45.01550901,Northeast,New England,643077,647464
VA,Virginia,"39,490","102,279","3,285","8,508","42,775","110,787",37.5222512,-78.6681938,37.5215,-78.8537,-83.67570908,36.54088516,-75.2408682,39.4659834,South,South Atlantic,8631393,8715698
WA,Washington,"66,456","172,119","4,842","12,542","71,298","184,661",47.4162296,-120.5996231,47.3826,-120.4472,-124.7336431,45.54383072,-116.9161608,49.00240503,West,Pacific,7705281,7812880
WV,West Virginia,"24,038","62,259",192,497,"24,230","62,756",38.6472854,-80.6183274,38.6409,-80.6227,-82.63840312,37.20150206,-77.72107035,40.63859988,South,South Atlantic,1793716,1770071
WI,Wisconsin,"54,158","140,268","11,339","29,367","65,496","169,635",44.628484,-89.7119299,44.6243,-89.9941,-92.88942676,42.49159163,-86.82351991,47.07725226,Midwest,East North Central,5893718,5910955
WY,Wyoming,"97,093","251,470",720,"1,864","97,813","253,335",42.9918024,-107.5419255,42.9957,-107.5512,-111.058433,40.99510965,-104.0521311,45.00605935,West,Mountain,576851,584057
PR,Puerto Rico,"3,424","8,868","1,901","4,924","5,325","13,791",18.217648,-66.4107992,,,,,,,,,3285874,3205691
